year,Base case cost,Modeled biomass for heat (pellet)
2017,1146712.63092,1236936.90734
2018,1287594.83614,1361655.85883
2019,1476198.81875,1528664.75942
2020,1570402.34401,1611728.82264
2021,1641544.34526,1674738.73366
2022,1691053.14919,1718129.14578
2023,1731622.93577,1753600.58117
2024,1767227.6357,1785126.33695
2025,1803589.36228,1816938.39418
2026,1849335.56622,1857167.09481
2027,1890307.22747,1893638.84686
2028,1922564.9667,1921917.19027
2029,1964451.85802,1958358.61832
2030,1992234.84666,1982705.05844
2031,2043450.01924,2028520.02435
2032,2095077.59108,2074769.22545
2033,2151878.75891,2126213.34669
2034,2214036.49071,2182538.35173
2035,2262568.21454,2227243.70318
2036,2325967.4237,2284850.3815
