year,Base case cost,Port frederick (unnamed stream) -- unnamed creek,Humpback creek (chichagof island),Steve kane creek,Shotter creek
2021,678039.961096,809184.276032,867525.706992,711312.319937,729496.64048
2022,701938.834344,830437.49113,883499.141891,733502.822898,751335.054809
2023,721893.603595,847819.859153,896164.19772,751901.754909,769390.150265
2024,737408.532022,860834.224959,905022.184003,766012.790687,783165.408154
2025,755425.978092,876402.448104,916248.019859,782586.575302,799411.284678
2026,777685.787403,896256.650285,931323.882398,803298.680243,819803.166874
2027,796190.798815,912423.834605,943269.266313,820406.247987,836598.017092
2028,813120.075308,927075.402848,954005.696678,836024.093423,851910.47432
2029,832952.272267,944663.265489,966989.798791,854375.497604,869963.647827
2030,845534.99907,955078.400799,973850.5819,865753.54994,881050.459274
2031,868874.125514,976274.506863,990552.600587,887653.918447,902666.412847
2032,895103.234237,1000409.4783,1010246.40099,912464.550678,927199.29612
2033,922731.029012,1025990.87319,1031438.30097,938693.675063,953157.181288
2034,953244.720322,1054498.41189,1055358.32934,967764.324962,981962.949141
2035,974984.959304,1074303.50934,1071619.12014,988335.262763,1002275.21307
2036,1005591.26079,1102993.64304,1095819.15283,1017535.85727,1031223.19637
2037,1027556.21564,1123111.3322,1112487.66164,1038367.97035,1051808.61882
2038,1059730.08056,1153454.84558,1138433.97077,1069171.73319,1082371.47283
2039,1088823.29519,1180771.85685,1161895.56043,1097039.45062,1110003.92775
2040,1126727.41479,1216921.09436,1193487.70659,1133543.71069,1146278.43927
2041,1139235.91726,1227784.28641,1202569.83688,1145369.57893,1157879.94369
2042,1152065.15057,1239006.77125,1212053.00361,1157532.17725,1169823.43671
2043,1165215.1147,1250587.64507,1221935.32457,1170031.13065,1182108.4201
2044,1179327.27133,1263167.48696,1232856.42344,1183507.53462,1195375.86898
2045,1194080.88963,1276424.70414,1244493.7744,1197640.30071,1209304.57736
2046,1209475.9696,1290358.45489,1256845.62453,1212429.07968,1223894.08123
2047,1225833.24206,1305288.64805,1270230.99287,1228194.26134,1239464.65829
2048,1242831.97618,1320893.75002,1284327.47686,1244614.78178,1255695.13518
2049,1260472.17197,1337172.97693,1299133.444,1261690.31577,1272585.07977
2050,1278433.0986,1353804.83237,1314326.56922,1279099.81486,1289813.33921
2051,1278433.0986,1352506.9113,1311623.63816,1278561.3114,1289097.84391
2052,1278433.0986,1351239.41024,1308984.05704,1278035.42912,1288399.11803
2053,1278433.0986,1350001.61626,1306406.34112,1277521.87221,1287716.76854
2054,1278433.0986,1348792.83306,1303889.0404,1277020.35179,1287050.41161
2055,1278433.0986,1347612.38072,1301430.73892,1276530.58575,1286399.67242
2056,1278433.0986,1346459.59523,1299030.05388,1276052.29861,1285764.18494
2057,1278433.0986,1345333.82815,1296685.63489,1275585.22131,1285143.59169
2058,1278433.0986,1344234.44624,1294396.16324,1275129.09115,1284537.5436
2059,1278433.0986,1343160.83109,1292160.35107,1274683.65153,1283945.69976
2060,1278433.0986,1342112.37879,1289976.94073,1274248.6519,1283367.72725
2061,1278433.0986,1341088.4996,1287844.7041,1273823.84758,1282803.30098
2062,1278433.0986,1340088.61757,1285762.44174,1273408.99961,1282252.10345
2063,1278433.0986,1339112.17028,1283728.98241,1273003.87464,1281713.82461
2064,1278433.0986,1338158.60847,1281743.18229,1272608.24478,1281188.16169
2065,1278433.0986,1337227.39578,1279803.92438,1272221.88751,1280674.81899
2066,1278433.0986,1336318.00836,1277910.11778,1271844.58547,1280173.50775
2067,1278433.0986,1335429.93473,1276060.69731,1271476.12646,1279683.946
2068,1278433.0986,1334562.67532,1274254.62261,1271116.3032,1279205.85835
2069,1278433.0986,1333715.74231,1272490.87781,1270764.9133,1278738.97588
2070,1278433.0986,1332888.65928,1270768.47077,1270421.7591,1278283.03598
