year,Base case cost,Modeled non-residential energy efficiency
2017,17017.3963154,22178.8716275
2018,18067.3963154,23228.8716275
2019,19507.3963154,24668.8716275
2020,20227.3963154,25388.8716275
2021,20707.3963154,25868.8716275
2022,21067.3963154,26228.8716275
2023,21337.3963154,26498.8716275
2024,21547.3963154,26708.8716275
2025,21787.3963154,26948.8716275
2026,22117.3963154,27278.8716275
2027,22387.3963154,27548.8716275
2028,22597.3963154,27758.8716275
2029,22897.3963154,28058.8716275
2030,23047.3963154,28208.8716275
2031,23377.3963154,28538.8716275
