year,Base case cost,"Eagle (eagle village, american creek)"
2021,171152.251797,842331.812763
2022,176857.326857,833400.836068
2023,180850.879399,823383.88099
2024,183703.416929,812741.825184
2025,187696.969471,803340.790922
2026,192831.537025,795173.645917
2027,196825.089567,786359.999438
2028,199677.627097,776893.049836
2029,204241.687145,769107.936446
2030,207362.829376,760456.639114
2031,212504.056551,753680.767897
2032,217074.036261,746693.559817
2033,222215.263436,740427.166375
2034,227927.738074,734875.687898
2035,230783.975394,727218.784886
2036,236496.450032,722141.794473
2037,239923.934815,715417.355147
2038,245065.16199,710323.775535
2039,249635.141701,704979.430396
2040,255347.616339,700786.491585
2041,255678.3775,692441.566987
2042,255678.3775,683969.217613
2043,255678.3775,675695.438849
2044,255678.3775,667615.576831
2045,255678.3775,659725.086591
2046,255678.3775,652019.52971
2047,255678.3775,644494.571847
2048,255678.3775,637145.980121
2049,255678.3775,629969.621038
2050,255678.3775,622961.457877
2051,255678.3775,616117.548549
2052,255678.3775,609434.043319
2053,255678.3775,602907.182796
2054,255678.3775,596533.295524
2055,255678.3775,590308.796238
2056,255678.3775,584230.183657
2057,255678.3775,578294.038541
2058,255678.3775,572497.021879
2059,255678.3775,566835.872753
2060,255678.3775,561307.40679
2061,255678.3775,555908.514293
2062,255678.3775,550636.158296
2063,255678.3775,545487.373157
2064,255678.3775,540459.262683
2065,255678.3775,535548.998593
2066,255678.3775,530753.818704
2067,255678.3775,526071.025932
2068,255678.3775,521497.986078
2069,255678.3775,517032.126891
2070,255678.3775,512670.936264
