year,Base case cost,Modeled diesel efficiency
2019,152697.702901,315050.338031
2020,163523.286315,320761.287388
2021,171152.251797,323663.028813
2022,176857.326857,324910.318365
2023,180850.879399,324694.001997
2024,183703.416929,323530.559049
2025,187696.969471,323492.449191
2026,192831.537025,324577.608813
2027,196825.089567,324709.449903
2028,199677.627097,323886.004516
2029,204241.687145,324698.566665
2030,207362.829376,324277.586544
2031,212504.056551,325769.415595
2032,217074.036261,326816.507215
2033,222215.263436,328455.74524
2034,227927.738074,330685.422698
2035,230783.975394,330387.977352
2036,236496.450032,332754.94009
2037,239923.934815,333110.878304
2038,245065.16199,335089.450629
