year,Base case diesel consumed,"Eagle (eagle village, american creek)"
2021,57050.7505991,45714.3941391
2022,57050.7505991,45714.3941391
2023,57050.7505991,45714.3941391
2024,57050.7505991,45714.3941391
2025,57050.7505991,45714.3941391
2026,57050.7505991,45714.3941391
2027,57050.7505991,45714.3941391
2028,57050.7505991,45714.3941391
2029,57050.7505991,45714.3941391
2030,57124.7463846,45788.3899245
2031,57124.7463846,45788.3899245
2032,57124.7463846,45788.3899245
2033,57124.7463846,45788.3899245
2034,57124.7463846,45788.3899245
2035,57124.7463846,45788.3899245
2036,57124.7463846,45788.3899245
2037,57124.7463846,45788.3899245
2038,57124.7463846,45788.3899245
2039,57124.7463846,45788.3899245
2040,57124.7463846,45788.3899245
2041,57198.7421701,45862.38571
2042,57198.7421701,45862.38571
2043,57198.7421701,45862.38571
2044,57198.7421701,45862.38571
2045,57198.7421701,45862.38571
2046,57198.7421701,45862.38571
2047,57198.7421701,45862.38571
2048,57198.7421701,45862.38571
2049,57198.7421701,45862.38571
2050,57198.7421701,45862.38571
2051,57198.7421701,45862.38571
2052,57198.7421701,45862.38571
2053,57198.7421701,45862.38571
2054,57198.7421701,45862.38571
2055,57198.7421701,45862.38571
2056,57198.7421701,45862.38571
2057,57198.7421701,45862.38571
2058,57198.7421701,45862.38571
2059,57198.7421701,45862.38571
2060,57198.7421701,45862.38571
2061,57198.7421701,45862.38571
2062,57198.7421701,45862.38571
2063,57198.7421701,45862.38571
2064,57198.7421701,45862.38571
2065,57198.7421701,45862.38571
2066,57198.7421701,45862.38571
2067,57198.7421701,45862.38571
2068,57198.7421701,45862.38571
2069,57198.7421701,45862.38571
2070,57198.7421701,45862.38571
