year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,56976.75,1041.68,67512.85,33684.71
2018,56976.75,1025.21,67512.85,33684.71
2019,56976.75,1009.9,67512.85,32611.98
2020,56976.75,994.51,67512.85,32611.98
2021,57050.75,978.72,67512.85,31539.25
2022,57050.75,963.28,67512.85,31539.25
2023,57050.75,947.61,67512.85,30466.52
2024,57050.75,932.39,67512.85,29393.8
2025,57050.75,917.35,67512.85,29393.8
2026,57050.75,902.62,67512.85,28321.07
2027,57050.75,887.7,67512.85,28321.07
2028,57050.75,873.32,67512.85,27248.34
2029,57050.75,862.35,67512.85,27248.34
2030,57124.75,850.77,67512.85,27248.34
2031,57124.75,838.39,67512.85,26175.61
2032,57124.75,823.69,67512.85,26175.61
2033,57124.75,808.79,67512.85,25102.89
2034,57124.75,794.59,67512.85,25102.89
2035,57124.75,781.72,67512.85,24030.16
2036,57124.75,770.45,67512.85,24030.16
2037,57124.75,760.65,67512.85,22957.43
2038,57124.75,751.06,67512.85,22957.43
2039,57124.75,741.38,67512.85,22957.43
2040,57124.75,731.31,67512.85,21884.7
