year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12560.1612551,8164.10481583
2018,12563.4597289,8166.24882377
2019,12566.6635907,8168.33133396
2020,12569.8160765,8170.38044973
2021,12573.0388874,8172.47527682
2022,12575.9499727,8174.36748223
2023,12578.7915335,8176.21449676
2024,12581.4205177,8177.92333649
2025,12584.0196104,8179.61274675
2026,12586.6401876,8181.31612194
2027,12589.2480876,8183.01125696
2028,12591.8574555,8184.7073461
2029,12593.8385681,8185.99506929
2030,12595.9178957,8187.3466322
2031,12598.1478817,8188.79612312
