year,Base case cost,Modeled diesel efficiency
2019,1291156.56994,1551346.04153
2020,1361213.60139,1606185.0174
2021,1411346.11834,1643118.20206
2022,1446048.61396,1666226.63752
2023,1469301.06495,1679123.7377
2024,1488858.8496,1688855.20981
2025,1512128.40552,1702149.65227
2026,1542892.66052,1722441.66953
2027,1565895.37943,1735857.63903
2028,1584981.75202,1745888.97127
2029,1612693.11791,1763932.76755
2030,1628377.66069,1771210.62743
2031,1659069.39076,1792294.99804
2032,1685249.52271,1809437.69395
2033,1715040.16471,1830018.70488
2034,1744351.86848,1850316.69402
2035,1762613.09893,1860717.60307
2036,1795999.19862,1885013.71082
2037,1810298.24153,1892099.86011
2038,1843390.13632,1916409.00587
