year,Base case cost,Modeled solar power (pv)
2016,852719.410813,907318.030312
2017,1013980.64907,1064758.42676
2018,1127605.32275,1175343.40256
2019,1291156.56994,1335153.85048
2020,1361213.60139,1402935.50814
2021,1411346.11834,1451128.49383
2022,1446048.61396,1484162.28355
2023,1469301.06495,1505953.79619
2024,1488858.8496,1524141.01887
2025,1512128.40552,1546016.68131
2026,1542892.66052,1575308.97086
2027,1565895.37943,1596983.25182
2028,1584981.75202,1614826.88073
2029,1612693.11791,1641217.08616
2030,1628377.66069,1655772.02288
2031,1659069.39076,1685148.92748
2032,1685249.52271,1710097.26529
2033,1715040.16471,1738632.57014
2034,1744351.86848,1766717.94018
2035,1762613.09893,1783935.71314
