year,Base case cost,Modeled wind power,Kaktovik wind diesel design
2019,1291156.56994,1584898.94528,1594093.82578
2020,1361213.60139,1621212.2436,1638367.64312
2021,1411346.11834,1643267.90923,1666754.76487
2022,1446048.61396,1654482.52457,1682989.54488
2023,1469301.06495,1657758.32842,1690291.96837
2024,1488858.8496,1658702.57944,1694903.7204
2025,1512128.40552,1662573.76227,1702717.6878
2026,1542892.66052,1672077.56041,1716757.22893
2027,1565895.37943,1676233.39222,1724775.89383
2028,1584981.75202,1677809.51257,1729859.56734
2029,1612693.11791,1686129.38092,1742282.72523
2030,1628377.66069,1685887.83109,1745157.56383
2031,1659069.39076,1696619.08846,1760236.09945
2032,1685249.52271,1704151.30081,1771763.80137
2033,1715040.16471,1714459.80728,1786350.23933
2034,1744351.86848,1724520.16967,1800655.0739
2035,1762613.09893,1726967.08796,1806363.67702
2036,1795999.19862,1740476.78431,1824369.96544
2037,1810298.24153,1740467.1089,1827242.20018
2038,1843390.13632,1754107.44947,1845317.54046
