year,Base case diesel consumed,Modeled solar power (pv)
2016,391155.693034,385156.9454
2017,389992.557336,384041.799684
2018,388829.421639,382926.270048
2019,387734.705689,381878.77931
2020,386708.409485,380899.330518
2021,385613.693535,379851.087199
2022,384587.397331,378870.891846
2023,383629.520874,377958.747433
2024,382740.064165,377114.656911
2025,381850.607455,376270.203459
2026,380961.150745,375425.389982
2027,380071.694036,374580.219358
2028,379182.237326,373734.694446
2029,378566.459604,373162.497067
2030,377813.842388,372453.111551
2031,377061.225172,371743.380182
2032,376171.768462,370896.466232
2033,375282.311753,370049.21194
2034,374324.435296,369133.200282
2035,373434.978586,368285.273453
