year,Base case diesel consumed,Modeled non-residential ashp
2017,23665.6211542,-3222.95699637
2018,23665.6211542,-3222.95699637
2019,23665.6211542,-3222.95699637
2020,23665.6211542,-3222.95699637
2021,23665.6211542,-3222.95699637
2022,23665.6211542,-3222.95699637
2023,23665.6211542,-3222.95699637
2024,23665.6211542,-3222.95699637
2025,23665.6211542,-3222.95699637
2026,23665.6211542,-3222.95699637
2027,23665.6211542,-3222.95699637
2028,23665.6211542,-3222.95699637
2029,23665.6211542,-3222.95699637
2030,23665.6211542,-3222.95699637
2031,23665.6211542,-3222.95699637
