year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,430000000.0,7992.88,333114830.0,332462370.0,652460.0
2004,,430000000.0,7992.88,333068996.0,331385001.0,1683995.0
2005,,430000000.0,7992.88,340443004.0,340443004.0,0.0
2006,,430000000.0,7992.88,368666001.0,368666001.0,0.0
2007,,430000000.0,7992.88,369113001.0,365365999.0,3747002.0
2008,,430000000.0,7992.88,323859000.0,279888000.0,43971000.0
2009,,430000000.0,7992.88,353730000.0,338282000.0,15448000.0
2010,,430000000.0,7992.88,399925000.0,399573000.0,352000.0
2011,,430000000.0,7992.88,389221000.0,385796000.0,3425000.0
2012,,430000000.0,7992.88,430029000.0,429207000.0,822000.0
2013,,430000000.0,7992.88,401888000.0,401169000.0,719000.0
2014,,430000000.0,7992.88,424528000.0,424329000.0,199000.0
2015,start of forecast,430000000.0,7992.88,416955000.0,416375000.0,580000.0
2016,,430000000.0,7992.88,417789000.0,417209000.0,580000.0
2017,,430000000.0,7992.88,418600000.0,418020000.0,580000.0
2018,,430000000.0,7992.88,419208000.0,418628000.0,580000.0
2019,,430000000.0,7992.88,419665000.0,419085000.0,580000.0
2020,,430000000.0,7992.88,420071000.0,419491000.0,580000.0
2021,,430000000.0,7992.88,420489000.0,419909000.0,580000.0
2022,,430000000.0,7992.88,420765000.0,420185000.0,580000.0
2023,,430000000.0,7992.88,420919000.0,420339000.0,580000.0
2024,,430000000.0,7992.88,421086000.0,420506000.0,580000.0
2025,,430000000.0,7992.88,421154000.0,420574000.0,580000.0
2026,,430000000.0,7992.88,421243000.0,420663000.0,580000.0
2027,,430000000.0,7992.88,421409000.0,420829000.0,580000.0
2028,,430000000.0,7992.88,421540000.0,420960000.0,580000.0
2029,,430000000.0,7992.88,421140000.0,420560000.0,580000.0
2030,,430000000.0,7992.88,420835000.0,420255000.0,580000.0
2031,,430000000.0,7992.88,420647000.0,420067000.0,580000.0
2032,,430000000.0,7992.88,420778000.0,420198000.0,580000.0
2033,,430000000.0,7992.88,421023000.0,420443000.0,580000.0
2034,,430000000.0,7992.88,421244000.0,420664000.0,580000.0
2035,,430000000.0,7992.88,421221000.0,420641000.0,580000.0
2036,,430000000.0,7992.88,421117000.0,420537000.0,580000.0
2037,,430000000.0,7992.88,420894000.0,420314000.0,580000.0
2038,,430000000.0,7992.88,420681000.0,420101000.0,580000.0
2039,,430000000.0,7992.88,420665000.0,420085000.0,580000.0
2040,,430000000.0,7992.88,420732000.0,420152000.0,580000.0
