year,Base case cost,Sheep creek,Water supply creek (hoonah),Turner lake (turner creek),Yehring creek,Tease creek (tease lake),Treadwell ditch,Sawmill creek,Sweetheart lake -- sweetheart falls creek,Peterson lake,Rhine creek,Davidson creek,Davies creek,"Funter bay (s funter bay creek; 58.13', 134.52') -- south funter bay creek","Greens creek (hawk inlet; 58.04', 134.43')",Bear creek (taku harbor),Boundary lake (boundary creek),Carlson creek,Cowee creek,Lemon creek,Nugget creek
2021,282347.64207,3372397.03605,1006613.34995,5799983.38765,7523020.51441,25957852.9816,5720693.59022,2681321.68331,13947552.7659,4016651.88442,2390674.23248,418538.136694,4122887.54434,706076.169484,998830.567665,273795.453554,28758424.5285,14087757.8636,887214.606479,7074445.46547,8922717.48704
2022,291116.202383,3369645.08436,1006072.04332,5795396.8015,7515201.64087,25936802.1683,5716107.00406,2679716.37815,13909962.0277,4013441.27411,2388724.93337,421337.832606,4119980.79536,711627.591167,1004591.53478,277864.120638,28729855.5675,14076291.3982,886957.757654,7068683.56662,8916101.51713
2023,298131.050633,3367443.523,1005638.99802,5791727.53258,7508946.54205,25919961.5176,5712437.73514,2678432.13403,13879889.4372,4010872.78587,2387165.49407,423577.589335,4117655.39618,716068.728514,1009200.30846,281119.054306,28707000.3987,14067118.2259,886752.278595,7064074.04753,8910808.7412
2024,303392.186821,3365792.35199,1005314.21404,5788975.58089,7504255.21793,25907331.0296,5709685.78345,2677468.95094,13857334.9943,4008946.41968,2385995.9146,425257.406883,4115911.34679,719399.581524,1012656.88873,283560.254556,28689859.0221,14060238.3467,886598.1693,7060616.90821,8906839.15925
2025,309530.17904,3363865.9858,1004935.2994,5785764.97058,7498782.00645,25892595.4602,5706475.17314,2676345.23733,13831021.4776,4006698.99246,2384631.40522,427217.194021,4113876.62251,723285.576702,1016689.56571,286408.321516,28669860.7494,14052211.8209,886418.375123,7056583.57901,8902207.98031
2026,317421.883321,3361389.22928,1004448.12343,5781637.04304,7491745.02027,25873649.7282,5702347.2456,2674900.46269,13797189.8133,4003809.44319,2382877.03602,429736.920342,4111260.54843,728281.856217,1021874.43611,290070.121892,28644148.6845,14041892.0021,886187.21118,7051397.87004,8896253.60739
2027,324436.731571,3359187.66792,1004015.07813,5777967.77412,7485489.92144,25856809.0775,5698677.97668,2673616.21857,13767117.2228,4001240.95494,2381317.59672,431976.677072,4108935.14925,732722.993563,1026483.2098,293325.055559,28621293.5157,14032718.8297,885981.732121,7046788.35095,8890960.83146
2028,329697.867759,3357536.49691,1003690.29415,5775215.82242,7480798.59732,25844178.5895,5695926.02499,2672653.03547,13744562.7799,3999314.58875,2380148.01725,433656.494619,4107191.09987,736053.846573,1029939.79007,295766.25581,28604152.1392,14025838.9505,885827.622826,7043331.21164,8886991.24951
2029,336712.716009,3355334.93555,1003257.24885,5771546.5535,7474543.49849,25827337.9388,5692256.75606,2671368.79135,13714490.1893,3996746.10051,2378588.57796,435896.251349,4104865.70069,740494.98392,1034548.56375,299021.189478,28581296.9704,14016665.7782,885622.143766,7038721.69255,8881698.47358
2030,341096.996166,3353958.95971,1002986.59553,5769253.26042,7470634.06173,25816812.5321,5689963.46299,2670566.13877,13695694.8203,3995140.79535,2377613.9284,437296.099305,4103412.3262,743270.694761,1037429.04731,301055.52302,28567012.4899,14010932.5455,885493.719354,7035840.74312,8878390.48862
