year,Base case cost,Modeled biomass for heat (pellet)
2017,21638639.8174,26019130.3079
2018,24143766.1174,27806192.4165
2019,27650942.9374,30308079.3686
2020,29404531.3474,31559022.8447
2021,30573590.2874,32392985.1621
2022,31408632.3874,32988672.5316
2023,32076666.0674,33465222.4272
2024,32577691.3274,33822634.849
2025,33162220.7974,34239616.0077
2026,33913758.6874,34775734.6402
2027,34581792.3674,35252284.5359
2028,35082817.6274,35609696.9576
2029,35750851.3074,36086246.8533
2030,36168372.3574,36384090.538
2031,37003414.4574,36979777.9076
2032,,
2033,,
2034,,
2035,,
2036,,
