year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,44140.0,32637.6616559
2018,44140.0,32637.6616559
2019,44140.0,32637.6616559
2020,44140.0,32637.6616559
2021,44140.0,32637.6616559
2022,44140.0,32637.6616559
2023,44140.0,32637.6616559
2024,44140.0,32637.6616559
2025,44140.0,32637.6616559
2026,44140.0,32637.6616559
2027,44140.0,32637.6616559
2028,44140.0,32637.6616559
2029,44140.0,32637.6616559
2030,44140.0,32637.6616559
2031,44140.0,32637.6616559
2032,,
2033,,
2034,,
2035,,
2036,,
