year,Base case cost,Modeled biomass for heat (cordwood)
2017,161936.967252,191115.871732
2018,177385.967252,201805.585913
2019,198573.167252,216755.386751
2020,209166.767252,223888.936529
2021,216229.167252,228427.867649
2022,221525.967252,231677.302334
2023,225498.567252,233963.241968
2024,228588.367252,235611.696728
2025,232119.567252,237601.438608
2026,236974.967252,240584.871375
2027,240947.567252,242929.770679
2028,244037.367252,244635.803241
2029,248451.367252,247334.526674
2030,250658.367252,248414.610217
2031,255513.767252,251465.886257
2032,,
2033,,
2034,,
2035,,
2036,,
