year,Base case cost,Modeled water and wastewater efficiency
2017,4399.02064432,4024.45751592
2018,4628.94691064,4208.58021646
2019,4958.08751926,4475.66136583
2020,5109.52340551,4594.70082822
2021,5210.2548658,4671.66598198
2022,5273.93119952,4717.85139656
2023,5320.11577474,4749.63318428
2024,5348.15833753,4766.42336744
2025,5382.70472659,4788.78851225
2026,5431.60546488,4823.24103613
2027,5469.51440942,4848.69113705
2028,5490.39989247,4860.07422901
2029,5547.94640563,4902.24748233
2030,5567.15601454,4912.56934816
2031,5607.87921913,4940.87021652
