year,Base case diesel consumed,Modeled transmission and interties
2021,103084.333053,51542.1665266
2022,103235.705055,51617.8525273
2023,103387.077056,51693.5385281
2024,103689.821059,51844.9105297
2025,103841.193061,51920.5965304
2026,103992.565062,51996.2825312
2027,104295.309066,52147.6545328
2028,104598.053069,52299.0265343
2029,104900.797072,52450.3985359
2030,105052.169073,52526.0845366
2031,105354.913076,52677.4565382
2032,105657.657079,52828.8285397
2033,105960.401083,52980.2005413
2034,106111.773084,53055.886542
2035,106414.517087,53207.2585436
2036,106717.26109,53358.6305451
2037,106868.633092,53434.3165459
2038,107020.005093,53510.0025467
2039,107322.749096,53661.3745482
2040,107474.121098,53737.060549
