year,Base case diesel consumed,Modeled transmission and interties
2021,264743.768063,-43792.066743
2022,272040.296652,-43759.6099929
2023,279431.946755,-43781.8064053
2024,287074.433978,-43777.8277137
2025,294717.688853,-43773.0813707
2026,302501.481602,-43777.5718299
2027,310291.176336,-43776.1603048
2028,318229.790025,-43775.6045018
2029,326391.668883,-43776.4455455
2030,334629.651551,-43776.0701173
2031,343017.06353,-43776.0400549
2032,351479.187602,-43776.1852392
2033,360016.430964,-43776.0984705
2034,368778.240123,-43776.1079215
2035,377689.810788,-43776.1305437
2036,386826.084322,-43776.1123119
2037,396112.109688,-43776.1169257
2038,405622.798682,-43776.1199271
2039,415208.381554,-43776.1163883
2040,425018.621545,-43776.117747
