year,Base case cost,Hooper bay wind farm construction,Modeled wind power
2019,696915.71764,795961.654209,883627.543053
2020,760001.995734,850844.929925,934356.767187
2021,810115.930272,894467.463971,974576.238234
2022,856926.934452,935411.753397,1012400.51411
2023,896976.549084,970488.647857,1044755.96691
2024,935862.654769,1004751.67471,1076461.61353
2025,975515.550104,1039858.0592,1109056.88218
2026,1025480.02263,1084537.08704,1150919.91406
2027,1070504.55836,1124891.67048,1188735.99611
2028,1113804.26509,1163863.97016,1225329.56821
2029,1161954.34122,1207485.04164,1266497.30257
2030,1204666.74558,1246278.91889,1303112.30718
2031,1262302.79379,1298977.9091,1353205.80578
2032,1318046.95351,1350121.10215,1401899.3814
2033,1375262.76628,1402799.28382,1452166.21463
2034,1438235.13648,1461024.63828,1507900.90599
2035,1491874.75261,1510791.34739,1555563.50832
2036,1558909.11982,1573198.08613,1615551.72089
2037,1612176.28643,1622980.17064,1663416.83158
2038,1683334.61453,1689624.72688,1727711.65679
