year,Base case diesel consumed,Modeled diesel efficiency
2019,250689.107065,227899.188241
2020,257627.795164,234207.086513
2021,264743.768063,240676.152784
2022,272040.296652,247309.360592
2023,279431.946755,254029.042505
2024,287074.433978,260976.758162
2025,294717.688853,267925.171685
2026,302501.481602,275001.346911
2027,310291.176336,282082.887578
2028,318229.790025,289299.809114
2029,326391.668883,296719.698984
2030,334629.651551,304208.774137
2031,343017.06353,311833.694119
2032,351479.187602,319526.534183
2033,360016.430964,327287.664513
2034,368778.240123,335252.945567
2035,377689.810788,343354.373444
2036,386826.084322,351660.076657
2037,396112.109688,360101.917898
2038,405622.798682,368747.998802
