year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,34734.83,925711.42,692485.68,6961.16,123243.17,151337.95
2018,37174.1,979033.94,739592.79,7625.85,132916.96,165635.02
2019,40525.35,1053685.47,795513.6,8545.59,146460.26,183844.26
2020,42226.47,1087811.88,831962.53,9015.19,152651.48,194392.83
2021,43602.46,1111273.79,854836.4,9397.09,156907.94,201240.43
2022,44789.23,1130469.9,882153.26,9727.9,160390.51,208624.78
2023,45805.53,1141134.41,903890.77,10013.07,162325.26,214094.41
2024,46662.39,1151798.91,918634.03,10253.93,164260.02,218140.31
2025,47633.83,1164596.32,942326.64,10527.61,166581.73,224254.04
2026,48897.45,1179526.62,967867.06,10885.0,169290.39,230980.2
2027,49910.28,1192324.03,992155.69,11172.22,171612.1,237269.92
2028,50945.8,1202988.53,1015121.01,11467.05,173546.86,243102.08
2029,51982.15,1215785.94,1032367.71,11762.56,175868.56,247954.0
2030,52866.31,1224317.54,1054128.92,12015.63,177416.37,253363.78
2031,54047.35,1239247.85,1081087.88,12353.98,180125.03,260508.79
2032,,,1117890.22,,,269985.61
2033,,,1137723.81,,,275668.18
2034,,,1167448.45,,,283696.64
2035,,,1190497.07,,,289486.55
2036,,,1220889.27,,,297712.11
