year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,62188.0582264,46019.1630875
2018,62188.0582264,46019.1630875
2019,62188.0582264,46019.1630875
2020,62188.0582264,46019.1630875
2021,62188.0582264,46019.1630875
2022,62188.0582264,46019.1630875
2023,62188.0582264,46019.1630875
2024,62188.0582264,46019.1630875
2025,62188.0582264,46019.1630875
2026,62188.0582264,46019.1630875
2027,62188.0582264,46019.1630875
2028,62188.0582264,46019.1630875
2029,62188.0582264,46019.1630875
2030,62188.0582264,46019.1630875
2031,62188.0582264,46019.1630875
