year,Base case cost,Modeled biomass for heat (cordwood)
2017,434434.668914,490920.384689
2018,462684.468762,512935.256869
2019,501529.02861,543624.84516
2020,520053.308154,557745.385855
2021,532414.188154,566860.349798
2022,542120.168002,573829.474951
2023,548275.697393,577918.727171
2024,553572.917393,581333.564498
2025,560635.877393,586211.365596
2026,568581.707393,591830.813488
2027,574761.797393,596028.968797
2028,580052.447241,599519.601685
2029,587998.187241,605198.565095
2030,592405.777089,608006.534662
2031,600351.427089,613722.85313
2032,615152.778417,626312.939841
2033,623187.978417,632154.518698
2034,632115.978417,638744.074568
2035,637479.918569,642434.60848
2036,646393.538265,649043.041932
