year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,38949.58,305974.7,101639.07,13403.74,51442.36,79236.26
2018,41475.07,325874.88,107460.79,14308.39,54884.77,84538.57
2019,44950.32,353237.63,115465.65,15549.63,59618.07,91829.25
2020,46597.88,366297.12,119286.16,16153.1,61877.15,95308.89
2021,47701.85,375003.45,121833.16,16549.85,63383.21,97628.65
2022,48569.06,381844.14,123834.37,16861.77,64566.53,99451.32
2023,49099.79,386197.3,125107.88,17081.39,65319.56,100611.2
2024,49573.73,389928.58,126199.45,17250.62,65965.01,101605.38
2025,50204.94,394903.63,127654.88,17476.98,66825.61,102930.96
2026,50917.51,400500.55,129292.24,17729.16,67793.79,104422.23
2027,51468.32,404853.72,130565.74,17928.72,68546.81,105582.11
2028,51939.94,408585.0,131657.31,18100.28,69192.26,106576.3
2029,52650.07,414181.93,133294.67,18354.9,70160.44,108067.57
2030,53037.56,417291.33,134204.31,18503.4,70698.32,108896.06
2031,53748.37,422888.25,135841.67,18757.35,71666.49,110387.33
2032,54454.17,428485.18,145003.98,19016.32,72634.67,117206.16
2033,55165.83,434082.1,146730.96,19269.42,73602.85,118768.45
2034,55957.0,440300.91,148649.83,19550.21,74678.6,120504.32
2035,56432.77,444032.19,149801.15,19717.61,75324.05,121545.85
2036,57211.51,450251.0,151720.01,20010.86,76399.8,123281.72
2037,57688.59,453982.28,152871.33,20176.95,77045.25,124323.25
2038,58475.0,460201.09,154790.2,20462.51,78121.0,126059.12
2039,59029.64,464554.25,156133.41,20658.24,78874.03,127274.23
2040,59903.69,471394.94,158244.16,20963.33,80057.36,129183.7
