year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7916.33622739,5145.6185478
2018,7914.86011194,5144.65907276
2019,7913.57603532,5143.82442296
2020,7911.15097899,5142.24813635
2021,7910.5552857,5141.86093571
2022,7910.07418979,5141.54822337
2023,7906.37404619,5139.14313002
2024,7906.30479501,5139.09811676
2025,7906.09977158,5138.96485152
2026,7906.25818364,5139.06781937
2027,7905.85519507,5138.80587679
2028,7905.43895555,5138.53532111
2029,7905.23499752,5138.40274839
2030,7904.07717112,5137.65016123
2031,7903.9952017,5137.59688111
