year,Base case cost,Modeled biomass for heat (cordwood)
2017,123543.774923,138817.699243
2018,136205.694923,147813.405114
2019,153791.694923,160458.655028
2020,162584.694923,166610.604664
2021,168212.214923,170430.141546
2022,172784.574923,173477.480145
2023,175950.054923,175492.36508
2024,178412.094923,176994.748663
2025,181577.574923,179024.723029
2026,185094.774923,181322.04568
2027,188260.254923,183366.41045
2028,191074.014923,185157.6507
2029,194591.214923,187475.806992
2030,196701.534923,188760.313817
2031,200570.454923,191351.625871
2032,,
2033,,
2034,,
2035,,
2036,,
