year,Base case cost,Modeled residential energy efficiency
2017,364804.142443,340787.42709
2018,385332.421962,356585.846483
2019,413843.921295,378800.203262
2020,428099.670961,389600.253599
2021,437223.350747,396300.466585
2022,444636.340574,401643.555162
2023,449768.410453,405172.005273
2024,453760.02036,407799.840103
2025,458892.09024,411355.443452
2026,464594.390106,415381.324445
2027,469726.459986,418962.823141
2028,459217.050029,407028.389824
2029,464734.472231,410906.883022
2030,468044.925552,413042.536989
2031,474114.089974,417383.270545
2032,480183.254396,421735.367587
2033,486804.161039,426537.250454
2034,492873.325461,430911.281704
2035,497287.263222,433979.829991
2036,487339.410932,422244.709082
