year,annotation,diesel generation efficiency
2003,,11.58
2004,,11.91
2005,,11.42
2006,,12.46
2007,,12.1
2008,,11.88
2009,,11.74
2010,,12.01
2011,,12.12
2012,,12.01
2013,,12.19
2014,,16.4
2015,,11.56
2016,start of forecast,13.38
2017,,13.38
2018,,13.38
2019,,13.38
2020,,13.38
2021,,13.38
2022,,13.38
2023,,13.38
2024,,13.38
2025,,13.38
2026,,13.38
2027,,13.38
2028,,13.38
2029,,13.38
2030,,13.38
2031,,13.38
2032,,13.38
2033,,13.38
2034,,13.38
2035,,13.38
2036,,13.38
2037,,13.38
2038,,13.38
2039,,13.38
2040,,13.38
