year,Base case diesel consumed,Modeled transmission and interties
2021,31608.512607,0.0
2022,31608.512607,0.0
2023,31608.512607,0.0
2024,31608.512607,0.0
2025,31608.512607,0.0
2026,31608.512607,0.0
2027,31608.512607,0.0
2028,31608.512607,0.0
2029,31608.512607,0.0
2030,31533.7879909,0.0
2031,31533.7879909,0.0
2032,31533.7879909,0.0
2033,31533.7879909,0.0
2034,31533.7879909,0.0
2035,31533.7879909,0.0
2036,31533.7879909,0.0
2037,31533.7879909,0.0
2038,31533.7879909,0.0
2039,31533.7879909,0.0
2040,31459.0633748,0.0
