year,Base case cost,Modeled water and wastewater efficiency
2017,73140.280885,57346.5809284
2018,76934.2150157,59874.2309982
2019,82191.3381057,63419.9924851
2020,84826.5484354,65148.0297688
2021,86515.989912,66221.8319706
2022,87883.0351739,67073.9590344
2023,88823.8473943,67632.3029497
2024,89555.8016374,68047.8974248
2025,90496.980117,68610.8964989
2026,91541.5313175,69247.7440317
2027,92477.8118176,69811.4209682
2028,93311.8973417,70306.2351121
2029,94337.3286058,70935.4503751
2030,94940.8746472,71273.6606676
2031,96076.4490332,71983.2853005
