year,Base case cost,"Valdez, tatitlek (indian creek)",Cordova (silver lake)
2021,121060.603285,649609.053467,37367108.2532
2022,125169.709924,636165.452175,36618444.4097
2023,128014.476058,623102.877971,35888627.0783
2024,130227.071941,610378.38359,35176544.084
2025,133071.838075,597913.501976,34480389.3993
2026,136232.689336,585719.15686,33800124.9307
2027,139077.455471,573824.279273,33136073.445
2028,141606.136479,562222.268678,32487863.1933
2029,144766.98774,550853.144347,31854075.9878
2030,146316.776278,539470.959008,31236120.8784
2031,149785.492957,528594.185686,30631171.4275
2032,153254.209636,517967.543461,30040309.611
2033,157038.264195,507566.577582,29462852.7803
2034,160506.980874,497422.74756,28899183.4318
2035,163029.683913,487567.646784,28349691.6021
2036,166813.738472,477865.670167,27811602.5483
2037,169021.103631,468478.815527,27287788.1436
2038,173120.49607,459197.361788,26774078.0279
2039,175958.536989,450202.146152,26273710.4599
2040,179631.25187,440912.787739,25783159.3758
2041,179631.25187,432493.859733,25308996.899
2042,179631.25187,424272.250347,24845947.6049
2043,179631.25187,416243.334965,24393751.0305
2044,179631.25187,408402.597257,23952152.8117
2045,179631.25187,400745.626869,23520904.5528
2046,179631.25187,393268.116714,23099763.6744
2047,179631.25187,385965.860722,22688493.2863
2048,179631.25187,378834.751355,22286862.048
2049,179631.25187,371870.777297,21894644.0381
2050,179204.574312,364643.343871,21511191.9629
2051,179204.574312,358001.980728,21137143.7236
2052,179204.574312,351516.27453,20771862.2396
2053,179204.574312,345182.577094,20415142.0418
2054,179204.574312,338997.325639,20066782.4706
2055,179204.574312,332957.041035,19726587.5781
2056,179204.574312,327058.325607,19394366.0036
2057,179204.574312,321297.86133,19069930.8727
2058,179204.574312,315672.407911,18753099.6888
2059,179204.574312,310178.801101,18443694.2384
2060,179204.574312,304813.950665,18141540.4762
2061,179204.574312,299574.838914,17846468.443
2062,179204.574312,294458.518847,17558312.1607
2063,179204.574312,289462.112517,17276909.5404
2064,179204.574312,284582.809505,17002102.2965
2065,179204.574312,279817.865122,16733735.8454
2066,179204.574312,275164.599106,16471659.2321
2067,179204.574312,270620.394051,16215725.0416
2068,179204.574312,266182.693765,15965789.3066
2069,179204.574312,261849.002091,15721711.441
2070,179204.574312,257616.881328,15483354.1511
