year,Base case diesel consumed,"Valdez, tatitlek (indian creek)",Cordova (silver lake)
2021,31608.512607,0.0,0.0
2022,31608.512607,0.0,0.0
2023,31608.512607,0.0,0.0
2024,31608.512607,0.0,0.0
2025,31608.512607,0.0,0.0
2026,31608.512607,0.0,0.0
2027,31608.512607,0.0,0.0
2028,31608.512607,0.0,0.0
2029,31608.512607,0.0,0.0
2030,31533.7879909,0.0,0.0
2031,31533.7879909,0.0,0.0
2032,31533.7879909,0.0,0.0
2033,31533.7879909,0.0,0.0
2034,31533.7879909,0.0,0.0
2035,31533.7879909,0.0,0.0
2036,31533.7879909,0.0,0.0
2037,31533.7879909,0.0,0.0
2038,31533.7879909,0.0,0.0
2039,31533.7879909,0.0,0.0
2040,31459.0633748,0.0,0.0
2041,31459.0633748,0.0,0.0
2042,31459.0633748,0.0,0.0
2043,31459.0633748,0.0,0.0
2044,31459.0633748,0.0,0.0
2045,31459.0633748,0.0,0.0
2046,31459.0633748,0.0,0.0
2047,31459.0633748,0.0,0.0
2048,31459.0633748,0.0,0.0
2049,31459.0633748,0.0,0.0
2050,31384.3387587,0.0,0.0
2051,31384.3387587,0.0,0.0
2052,31384.3387587,0.0,0.0
2053,31384.3387587,0.0,0.0
2054,31384.3387587,0.0,0.0
2055,31384.3387587,0.0,0.0
2056,31384.3387587,0.0,0.0
2057,31384.3387587,0.0,0.0
2058,31384.3387587,0.0,0.0
2059,31384.3387587,0.0,0.0
2060,31384.3387587,0.0,0.0
2061,31384.3387587,0.0,0.0
2062,31384.3387587,0.0,0.0
2063,31384.3387587,0.0,0.0
2064,31384.3387587,0.0,0.0
2065,31384.3387587,0.0,0.0
2066,31384.3387587,0.0,0.0
2067,31384.3387587,0.0,0.0
2068,31384.3387587,0.0,0.0
2069,31384.3387587,0.0,0.0
2070,31384.3387587,0.0,0.0
