year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,0.0,15996.78,2418635.55,1686004.94
2018,0.0,15942.3,2418635.55,1676547.58
2019,0.0,15952.49,2418635.55,1679249.68
2020,0.0,15909.31,2418635.55,1671143.38
2021,0.0,15899.41,2418635.55,1669792.33
2022,0.0,15862.05,2418635.55,1664388.13
2023,0.0,15793.46,2418635.55,1652228.67
2024,0.0,15725.15,2418635.55,1641420.26
2025,0.0,15685.94,2418635.55,1634665.01
2026,0.0,15600.9,2418635.55,1619803.45
2027,0.0,15529.19,2418635.55,1608995.05
2028,0.0,15458.06,2418635.55,1596835.59
2029,0.0,15478.84,2418635.55,1599537.69
2030,0.0,15470.21,2418635.55,1598186.64
2031,0.0,15426.17,2418635.55,1591431.39
2032,0.0,15306.49,2418635.55,1571165.63
2033,0.0,15162.23,2418635.55,1546846.72
2034,0.0,14992.02,2418635.55,1518474.65
2035,0.0,14810.13,2418635.55,1488751.54
2036,0.0,14698.68,2418635.55,1469836.83
2037,0.0,14602.08,2418635.55,1453624.22
2038,0.0,14467.77,2418635.55,1432007.41
2039,0.0,14286.14,2418635.55,1400933.25
2040,0.0,14118.91,2418635.55,1373912.23
