year,Base case cost,"Port lions (unnamed stream, site #3) -- unnamed creek, 3","Port lions (unnamed stream, site #2) -- unnamed creek, 2","Uganik bay (one mile, 1/2 mile creek, ne arm uganik bay) -- 0","Port lions (unnamed stream, site #1) -- unnamed creek, 1",Port lions (mennonite creek),"Kodiak (unnamed stream, site #5) -- unnamed creek","Kodiak (unnamed stream, site #4) -- unnamed creek",Kodiak (leanne lake),Kodiak (virginia creek),"Monashka bay, upper -- monashka creek","Monashka bay, lower -- monashka creek","Port lions (crescent lake, port lions river)","Pillar creek, 1"
2021,0.0,223299.63742,660714.695508,641838.851377,128003.307515,145644.063132,689844.787986,580819.268832,3309217.20189,386270.442878,157671.194024,131180.708445,506249.568556,96507.2357972
2022,0.0,218638.183147,647115.714164,629290.761416,125409.036094,141664.234782,674257.861624,568060.105343,3239945.29273,378501.782197,154570.062716,128592.491482,495420.173545,94558.9993372
2023,0.0,214128.737633,633937.462357,617052.037269,122890.227081,137924.451606,659318.442965,555791.470217,3172954.72737,370951.847429,151547.722159,126071.043839,484974.586937,92666.5028499
2024,0.0,209753.117595,621135.198716,605110.206507,120440.099054,134368.899645,644914.860294,543936.387426,3107967.10489,363602.980252,148600.237033,123612.711952,474859.361056,90824.9936483
2025,0.0,205461.744758,608589.314319,593441.724468,118041.119432,130833.84065,630728.039311,532277.171604,3044220.99299,356410.660976,145719.218404,121209.38203,464925.552288,89022.3297452
2026,0.0,201220.823339,596217.883883,582028.819773,115681.179279,127209.561834,616542.879535,520666.71845,2981197.73622,349343.945149,142898.562564,118855.219067,455072.159871,87250.0999797
2027,0.0,197106.696683,584201.773029,570893.190019,113385.943873,123764.27661,602871.012444,509451.089992,2920073.0973,342466.339592,140147.929852,116560.14581,445533.007327,85525.864983
2028,0.0,193117.130267,572534.412807,560028.600014,111154.149476,120496.320341,589705.273258,498624.33416,2860813.91936,335774.043993,137465.784454,114322.882687,436302.971076,83848.6736646
2029,0.0,189171.310229,561021.795363,549400.877664,108957.602496,117134.149244,576519.696218,487828.48085,2802178.10402,329195.948404,134839.393381,112130.946965,427137.977063,82199.0625849
2030,0.0,185392.916118,549957.804104,539049.008979,106838.232785,114108.04472,564137.798121,477621.305283,2746069.57745,322836.266189,132285.264904,110001.091288,418415.651542,80605.7800595
