year,Base case diesel consumed,Modeled non-residential ashp
2017,12981.457445,-15239.1022462
2018,12981.457445,-15239.1022462
2019,12981.457445,-15239.1022462
2020,12981.457445,-15239.1022462
2021,12981.457445,-15239.1022462
2022,12981.457445,-15239.1022462
2023,12981.457445,-15239.1022462
2024,12981.457445,-15239.1022462
2025,12981.457445,-15239.1022462
2026,12981.457445,-15239.1022462
2027,12981.457445,-15239.1022462
2028,12981.457445,-15239.1022462
2029,12981.457445,-15239.1022462
2030,12981.457445,-15239.1022462
2031,12981.457445,-15239.1022462
