year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12472.4730505,8107.10748281
2018,12479.9089617,8111.9408251
2019,12486.7522472,8116.38896069
2020,12493.2360341,8120.60342213
2021,12499.6043917,8124.74285458
2022,12505.416287,8128.52058652
2023,12510.7944886,8132.01641758
2024,12516.2124566,8135.53809679
2025,12521.3667389,8138.88838026
2026,12526.6180351,8142.30172279
2027,12532.0270623,8145.8175905
2028,12537.5041461,8149.37769496
2029,12542.2975952,8152.49343691
2030,12547.1933961,8155.67570746
2031,12552.4266773,8159.07734026
