year,Base case diesel consumed,Modeled wind power
2019,102456.194477,81208.5677662
2020,102456.194477,81208.5677662
2021,102456.194477,81208.5677662
2022,102456.194477,81208.5677662
2023,102456.194477,81208.5677662
2024,102456.194477,81208.5677662
2025,102456.194477,81208.5677662
2026,102456.194477,81208.5677662
2027,102456.194477,81208.5677662
2028,102456.194477,81208.5677662
2029,102456.194477,81208.5677662
2030,102456.194477,81208.5677662
2031,102456.194477,81208.5677662
2032,102456.194477,81208.5677662
2033,102456.194477,81208.5677662
2034,102456.194477,81208.5677662
2035,102456.194477,81208.5677662
2036,102456.194477,81208.5677662
2037,102456.194477,81208.5677662
2038,102456.194477,81208.5677662
