year,Base case cost,Modeled wind power
2019,420070.397356,563398.222186
2020,444659.884031,583708.231384
2021,462077.437092,598094.4879
2022,474372.180429,608249.492499
2023,483593.237932,615865.745948
2024,490765.171545,621789.498631
2025,499986.229048,629405.75208
2026,511256.410441,638714.506296
2027,519452.905999,645484.509362
2028,527649.401557,652254.512428
2029,537895.021005,660717.01626
2030,543017.830729,664948.268177
2031,554288.012121,674257.022392
2032,565558.193514,683565.776608
2033,576828.374906,692874.530824
2034,588098.556299,702183.28504
2035,596295.051857,708953.288106
2036,607565.233249,718262.042321
2037,614737.166863,724185.795004
2038,627031.9102,734340.799603
