year,Base case diesel consumed,Modeled residential ashp
2017,134460.406306,134130.991237
2018,137173.024784,136843.609715
2019,138529.334023,138199.918954
2020,141241.952501,140912.537432
2021,142598.261739,142268.846671
2022,143954.570978,143625.15591
2023,145310.880217,144981.465149
2024,146667.189456,146337.774388
2025,149379.807934,149050.392866
2026,150736.117173,150406.702105
2027,152092.426412,151763.011344
2028,153448.735651,153119.320583
2029,154805.04489,154475.629821
2030,156161.354129,155831.93906
2031,157517.663368,157188.248299
