year,annotation,Average Load
2003,,279.0
2004,,296.0
2005,,311.0
2006,,334.0
2007,,331.0
2008,,330.0
2009,,342.0
2010,,343.0
2011,,337.0
2012,,356.0
2013,,349.0
2014,start of forecast,350.0
2015,,351.0
2016,,353.0
2017,,356.0
2018,,358.0
2019,,360.0
2020,,362.0
2021,,365.0
2022,,367.0
2023,,368.0
2024,,370.0
2025,,372.0
2026,,375.0
2027,,377.0
2028,,380.0
2029,,383.0
2030,,385.0
2031,,388.0
2032,,391.0
2033,,394.0
2034,,397.0
2035,,399.0
2036,,401.0
2037,,404.0
2038,,407.0
2039,,413.0
2040,,416.0
