year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,206637.73,2042.62,57856.89,38429.32
2018,208092.34,2026.21,57856.89,39343.08
2019,209825.58,2009.21,57856.89,39343.08
2020,211101.51,1993.79,57856.89,40256.84
2021,212736.48,1975.51,57856.89,41170.6
2022,214162.0,1960.25,57856.89,41170.6
2023,215092.83,1949.59,57856.89,42084.36
2024,216423.26,1935.12,57856.89,42084.36
2025,217823.74,1919.4,57856.89,42998.12
2026,219951.07,1895.64,57856.89,43911.88
2027,221644.0,1877.05,57856.89,43911.88
2028,223629.32,1854.81,57856.89,44825.64
2029,225319.44,1836.11,57856.89,45739.4
2030,227084.39,1816.75,57856.89,46653.16
2031,229142.92,1793.82,57856.89,47566.92
2032,230907.27,1774.06,57856.89,47566.92
2033,233186.49,1748.73,57856.89,48480.68
2034,235024.47,1728.39,57856.89,49394.44
2035,236862.46,1707.83,57856.89,50308.2
2036,238259.36,1692.51,57856.89,51221.96
2037,240170.87,1671.43,57856.89,51221.96
2038,242082.4,1649.96,57856.89,52135.72
2039,246420.08,1602.46,57856.89,53963.24
2040,248846.25,1575.63,57856.89,54877.0
