year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,2671411.21,16453.24,1523702.77,1798186.22
2018,2706625.9,16426.57,1523702.77,1792611.98
2019,2663012.96,16380.61,1523702.77,1784250.62
2020,2665038.35,16334.06,1523702.77,1774495.69
2021,2663541.99,16297.92,1523702.77,1767527.89
2022,2647393.52,16245.27,1523702.77,1756379.4
2023,2638636.86,16179.9,1523702.77,1743837.35
2024,2626237.88,16108.26,1523702.77,1728508.18
2025,2609480.17,16020.67,1523702.77,1711785.46
2026,2594065.03,15930.61,1523702.77,1693669.17
2027,2580970.77,15857.32,1523702.77,1678340.0
2028,2566074.94,15774.66,1523702.77,1661617.27
2029,2541439.0,15635.63,1523702.77,1633746.05
2030,2516700.02,15496.69,1523702.77,1605874.84
2031,2494141.35,15370.23,1523702.77,1580790.74
2032,2481707.61,15300.39,1523702.77,1566855.13
2033,2469163.18,15229.85,1523702.77,1552919.53
2034,2456843.59,15160.8,1523702.77,1538983.92
2035,2443155.16,15083.63,1523702.77,1523654.75
2036,2425546.61,14984.92,1523702.77,1502751.34
2037,2404680.22,14867.72,1523702.77,1480454.36
2038,2387944.51,14773.67,1523702.77,1460944.51
2039,2373815.67,14694.26,1523702.77,1444221.78
2040,2361064.09,14622.59,1523702.77,1430286.18
