year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,3338342.0,2901581.99355
2018,3332742.0,2895981.99355
2019,3324335.0,2887574.99355
2020,3314533.0,2877772.99355
2021,3307529.0,2870768.99355
2022,3296327.0,2859566.99355
2023,3283720.0,2846959.99355
2024,3268319.0,2831558.99355
2025,3251509.0,2814748.99355
2026,3233303.0,2796542.99355
2027,3217900.0,2781139.99355
2028,3201095.0,2764334.99355
2029,3173085.0,2736324.99355
2030,3145075.0,2708314.99355
2031,3119864.0,2683103.99355
2032,3105858.0,2669097.99355
2033,3091853.0,2655092.99355
2034,3077848.0,2641087.99355
2035,3062442.0,2625681.99355
2036,3041439.0,2604678.99355
