year,Base case cost,Modeled biomass for heat (pellet)
2017,9622972.5016,10253395.4261
2018,10506670.5033,11008398.1492
2019,11710170.8779,12039779.6682
2020,12305404.0107,12541757.2541
2021,12676304.7175,12850216.3444
2022,12963005.0758,13083445.3742
2023,13110450.4866,13195119.4348
2024,13245060.2036,13294181.9988
2025,13372027.2031,13385820.7879
2026,13555818.1681,13525762.1537
2027,13716493.1601,13647163.9463
2028,13836926.5323,13732895.6255
2029,13937967.5651,13795066.4924
2030,13972185.6978,13799344.1196
2031,14109773.4272,13894078.4456
2032,14294899.086,14036536.1527
2033,14508706.9974,14203489.6174
2034,14719994.0088,14368099.0426
2035,14830060.403,14444763.3661
2036,15002081.6166,14570448.376
