year,Base case cost,Modeled biomass for heat (cordwood)
2017,9622972.5016,10785867.7817
2018,10506670.5033,11540676.8949
2019,11710170.8779,12576091.1484
2020,12305404.0107,13075204.2903
2021,12676304.7175,13378263.5037
2022,12963005.0758,13605536.7785
2023,13110450.4866,13709899.5136
2024,13245060.2036,13801877.9472
2025,13372027.2031,13886654.4759
2026,13555818.1681,14020744.3605
2027,13716493.1601,14136109.2091
2028,13836926.5323,14215613.5225
2029,13937967.5651,14272155.8677
2030,13972185.6978,14270207.9244
2031,14109773.4272,14360100.2852
2032,14294899.086,14497903.9584
2033,14508706.9974,14660783.9704
2034,14719994.0088,14821499.1681
2035,14830060.403,14893253.1251
2036,15002081.6166,15015389.8546
