year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,3338342.0,2941287.44868
2018,3332742.0,2935687.44868
2019,3324335.0,2927280.44868
2020,3314533.0,2917478.44868
2021,3307529.0,2910474.44868
2022,3296327.0,2899272.44868
2023,3283720.0,2886665.44868
2024,3268319.0,2871264.44868
2025,3251509.0,2854454.44868
2026,3233303.0,2836248.44868
2027,3217900.0,2820845.44868
2028,3201095.0,2804040.44868
2029,3173085.0,2776030.44868
2030,3145075.0,2748020.44868
2031,3119864.0,2722809.44868
2032,3105858.0,2708803.44868
2033,3091853.0,2694798.44868
2034,3077848.0,2680793.44868
2035,3062442.0,2665387.44868
2036,3041439.0,2644384.44868
