year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,16453.2353984,10694.603009
2018,16426.5673973,10677.2688083
2019,16380.6082825,10647.3953836
2020,16334.0553459,10617.1359748
2021,16297.9158857,10593.6453257
2022,16245.2654779,10559.4225607
2023,16179.9045826,10516.9379787
2024,16108.2626712,10470.3707363
2025,16020.673943,10413.438063
2026,15930.6127564,10354.8982917
2027,15857.3189405,10307.2573114
2028,15774.658934,10253.5283071
2029,15635.6317345,10163.1606274
2030,15496.6936083,10072.8508454
2031,15370.2257417,9990.64673211
