year,Base case cost,Modeled residential energy efficiency
2017,9992428.58168,9396649.23628
2018,10474339.2654,9733798.79578
2019,11125300.8364,10196955.9773
2020,11423368.3065,10386443.9241
2021,11604542.2809,10490209.1382
2022,11719995.7997,10537574.368
2023,11750322.2477,10517853.7557
2024,11760885.4045,10478928.686
2025,11760340.8375,10429441.6291
2026,11784238.6033,10396195.3596
2027,11806183.6668,10365884.0879
2028,11798808.0932,10311127.6815
2029,11730008.4209,10191076.275
2030,11623148.1511,10042183.4737
2031,11583012.3284,9947386.73331
2032,11617842.744,9928018.48788
2033,11666769.9535,9918831.21344
2034,11713069.8528,9907457.47114
2035,11698075.1195,9848321.34314
2036,11687537.3411,9780960.85305
