year,Base case cost,Modeled diesel efficiency
2019,243828.813932,414257.663533
2020,253767.57361,418778.951816
2021,258767.480936,418916.169983
2022,260894.504218,416544.991452
2023,258552.96346,410212.376566
2024,255572.820678,403397.744242
2025,253339.363725,397358.137827
2026,251245.343132,391539.257163
2027,248594.402169,385305.848323
2028,244916.252522,378228.225838
2029,239884.167575,370007.265163
2030,234055.067697,361147.206537
2031,230772.950314,354686.044576
2032,227999.899402,348769.172317
2033,225799.445139,343452.434281
2034,223568.463388,338185.670357
2035,219354.845118,331192.414239
2036,216008.372492,325061.597982
2037,210741.968456,317257.777868
2038,208075.351215,311888.092005
