year,Base case diesel consumed,"Mentasta lake (right tributary of slana river) -- slana river, tributary",Carlson creek
2021,87127.0979583,69731.7638535,0.0
2022,84981.923198,67586.5890931,-2145.17476034
2023,82341.7081083,64946.3740035,-4785.38984998
2024,79866.5064618,62471.172357,-7260.59149653
2025,77473.8115368,60078.477432,-9653.28642152
2026,74998.6098902,57603.2757854,-12128.4880681
2027,72688.4216868,55293.087582,-14438.6762715
2028,70378.2334834,52982.8993785,-16748.8644749
2029,67573.0049506,50177.6708458,-19554.0930077
2030,65015.2965825,47619.9624777,-22111.8013758
2031,62540.094936,45144.7608312,-24587.0030223
2032,60477.4268972,43082.0927924,-26649.6710611
2033,58497.26558,41101.9314751,-28629.8323783
2034,56599.6109843,39204.2768795,-30527.486974
2035,54701.9563886,37306.6222838,-32425.1415697
2036,52556.7816283,35161.4475234,-34570.31633
2037,50659.1270326,33263.7929278,-36467.9709257
2038,48843.9791584,31448.6450536,-38283.1187999
2039,47111.3380059,29716.003901,-40015.7599524
2040,45543.7102964,28148.3761916,-41583.3876619
2041,44141.09603,26745.7619252,-42986.0019283
2042,42820.9884852,25425.6543804,-44306.1094731
2043,41500.8809404,24105.5468355,-45626.2170179
2044,40098.266674,22702.9325692,-47028.8312843
2045,38943.1725723,21547.8384675,-48183.925386
2046,37788.0784706,20392.7443657,-49339.0194878
2047,36880.5045335,19485.1704287,-50246.5934248
2048,35972.9305964,18577.5964916,-51154.1673619
2049,35065.3566594,17670.0225545,-52061.7412989
2050,34405.3028869,17009.9687821,-52721.7950714
2051,34405.3028869,17009.9687821,-52721.7950714
2052,34405.3028869,17009.9687821,-52721.7950714
2053,34405.3028869,17009.9687821,-52721.7950714
2054,34405.3028869,17009.9687821,-52721.7950714
2055,34405.3028869,17009.9687821,-52721.7950714
2056,34405.3028869,17009.9687821,-52721.7950714
2057,34405.3028869,17009.9687821,-52721.7950714
2058,34405.3028869,17009.9687821,-52721.7950714
2059,34405.3028869,17009.9687821,-52721.7950714
2060,34405.3028869,17009.9687821,-52721.7950714
2061,34405.3028869,17009.9687821,-52721.7950714
2062,34405.3028869,17009.9687821,-52721.7950714
2063,34405.3028869,17009.9687821,-52721.7950714
2064,34405.3028869,17009.9687821,-52721.7950714
2065,34405.3028869,17009.9687821,-52721.7950714
2066,34405.3028869,17009.9687821,-52721.7950714
2067,34405.3028869,17009.9687821,-52721.7950714
2068,34405.3028869,17009.9687821,-52721.7950714
2069,34405.3028869,17009.9687821,-52721.7950714
2070,34405.3028869,17009.9687821,-52721.7950714
