year,Base case diesel consumed,Modeled diesel efficiency
2019,91664.9676436,83331.7887669
2020,89354.7794402,81231.6176729
2021,87127.0979583,79206.4526894
2022,84981.923198,77256.2938163
2023,82341.7081083,74856.0982803
2024,79866.5064618,72605.9149653
2025,77473.8115368,70430.7377607
2026,74998.6098902,68180.5544457
2027,72688.4216868,66080.3833516
2028,70378.2334834,63980.2122576
2029,67573.0049506,61430.0045006
2030,65015.2965825,59104.815075
2031,62540.094936,56854.63176
2032,60477.4268972,54979.4789975
2033,58497.26558,53179.3323454
2034,56599.6109843,51454.1918039
2035,54701.9563886,49729.0512624
2036,52556.7816283,47778.8923893
2037,50659.1270326,46053.7518478
2038,48843.9791584,44403.6174168
