year,Base case diesel consumed,Modeled wind power
2019,91664.9676436,66179.2879071
2020,89354.7794402,63869.0997036
2021,87127.0979583,61641.4182217
2022,84981.923198,59496.2434614
2023,82341.7081083,56856.0283718
2024,79866.5064618,54380.8267252
2025,77473.8115368,51988.1318002
2026,74998.6098902,49512.9301537
2027,72688.4216868,47202.7419502
2028,70378.2334834,44892.5537468
2029,67573.0049506,42087.3252141
2030,65015.2965825,39529.616846
2031,62540.094936,37054.4151994
2032,60477.4268972,34991.7471606
2033,58497.26558,33011.5858434
2034,56599.6109843,31113.9312477
2035,54701.9563886,29216.276652
2036,52556.7816283,27071.1018917
2037,50659.1270326,25173.447296
2038,48843.9791584,23358.2994219
