year,Base case cost,Modeled wind power
2019,243828.813932,409382.527566
2020,253767.57361,410923.780988
2021,258767.480936,408709.875881
2022,260894.504218,404373.17182
2023,258552.96346,396315.565499
2024,255572.820678,387933.525144
2025,253339.363725,380178.900349
2026,251245.343132,372442.18475
2027,248594.402169,364455.944869
2028,244916.252522,355747.740127
2029,239884.167575,345557.614702
2030,234055.067697,335087.127309
2031,230772.950314,326384.889013
2032,227999.899402,318488.844447
2033,225799.445139,311029.484891
2034,223568.463388,303617.382992
2035,219354.845118,294945.297509
2036,216008.372492,286352.28482
2037,210741.968456,276989.60196
2038,208075.351215,269219.632886
