year,Base case cost,"Mentasta lake (right tributary of slana river) -- slana river, tributary",Carlson creek
2021,258767.480936,886205.279345,1453398.25759
2022,260894.504218,873681.065838,1419842.01441
2023,258552.96346,857462.647658,1384814.89165
2024,255572.820678,841061.13196,1350568.52685
2025,253339.363725,825543.120483,1316910.24262
2026,251245.343132,810294.504731,1283218.1901
2027,248594.402169,794923.8923,1250344.7711
2028,244916.252522,778954.453825,1217805.77473
2029,239884.167575,761741.411934,1183697.86147
2030,234055.067697,744302.942966,1150909.19795
2031,230772.950314,729041.964214,1118081.76681
2032,227999.899402,714693.767145,1087072.52902
2033,225799.445139,701004.409546,1056369.6329
2034,223568.463388,687520.924976,1026139.38597
2035,219354.845118,672753.157692,996762.40972
2036,216008.372492,658454.659809,965606.413936
2037,210741.968456,643235.552331,936906.646354
2038,208075.351215,630052.079965,907356.762233
2039,203992.093565,616129.427039,879181.672271
2040,201758.636613,603794.125556,850948.295299
2041,195545.055413,589237.252167,826976.080839
2042,189696.978989,575241.429466,803785.589123
2043,183848.902566,561436.569493,781001.560105
2044,177635.321366,547452.691912,758248.962814
2045,172518.254495,534747.444993,736980.513065
2046,167401.187625,522220.046038,716090.611342
2047,163380.635083,510962.841099,696666.899824
2048,159360.082542,499875.24514,677604.199715
2049,155339.530001,488953.283034,658894.04999
2050,152415.491789,479289.58705,641624.70204
2051,152415.491789,472707.890016,627615.610518
2052,152415.491789,466280.451479,613934.857023
2053,152415.491789,460003.656085,600574.746296
2054,152415.491789,453873.973041,587527.763077
2055,152415.491789,447887.954447,574786.568535
2056,152415.491789,442042.233168,562343.995747
2057,152415.491789,436333.520963,550193.04572
2058,152415.491789,430758.606752,538326.883695
2059,152415.491789,425314.354551,526738.834755
2060,152415.491789,419997.701994,515422.380673
2061,152415.491789,414805.658524,504371.156076
2062,152415.491789,409735.303531,493578.944467
2063,152415.491789,404783.784997,483039.675346
2064,152415.491789,399948.317692,472747.420374
2065,152415.491789,395226.181694,462696.390217
2066,152415.491789,390614.72065,452880.930849
2067,152415.491789,386111.340809,443295.52149
2068,152415.491789,381713.508897,433934.770085
2069,152415.491789,377418.751215,424793.411387
2070,152415.491789,373224.651901,415866.303251
