year,Base case diesel consumed,Modeled solar power
2020,89354.7794402,87751.4731683
2021,87127.0979583,85536.6181366
2022,84981.923198,83404.1672148
2023,82341.7081083,80776.574173
2024,79866.5064618,78313.893598
2025,77473.8115368,75933.6195759
2026,74998.6098902,73470.739465
2027,72688.4216868,71172.774225
2028,70378.2334834,68874.7112012
2029,67573.0049506,66081.5108468
2030,65015.2965825,63535.7344315
2031,62540.094936,61072.3692822
2032,60477.4268972,59021.4430486
2033,58497.26558,57052.9296022
2034,56599.6109843,55166.8296943
2035,54701.9563886,53280.6373489
2036,52556.7816283,51146.8331409
2037,50659.1270326,49260.4581331
2038,48843.9791584,47456.4996102
2039,47111.3380059,45734.958294
