year,Base case cost,Modeled solar power
2020,253767.57361,260733.888503
2021,258767.480936,265319.946039
2022,260894.504218,267089.242703
2023,258552.96346,264444.789296
2024,255572.820678,261184.20814
2025,253339.363725,258661.462519
2026,251245.343132,256269.53073
2027,248594.402169,253342.59398
2028,244916.252522,249409.858675
2029,239884.167575,244114.271908
2030,234055.067697,238057.369165
2031,230772.950314,234494.244427
2032,227999.899402,231461.068684
2033,225799.445139,228992.006188
2034,223568.463388,226498.483052
2035,219354.845118,222070.905503
2036,216008.372492,218459.214296
2037,210741.968456,213003.455231
2038,208075.351215,210082.800871
2039,203992.093565,205792.496003
