year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,273476.338087,202372.490184
2018,273476.338087,202372.490184
2019,273476.338087,202372.490184
2020,273476.338087,202372.490184
2021,273476.338087,202372.490184
2022,273476.338087,202372.490184
2023,273476.338087,202372.490184
2024,273476.338087,202372.490184
2025,273476.338087,202372.490184
2026,273476.338087,202372.490184
2027,273476.338087,202372.490184
2028,273476.338087,202372.490184
2029,273476.338087,202372.490184
2030,273476.338087,202372.490184
2031,273476.338087,202372.490184
