year,Base case cost,"Belkovski, belkofski (unnamed stream, site #7) -- unnamed creek","King cove (ram creek, north branch)","King cove (unnamed  creek, sw)","King cove (unnamed creek, ne)",Waterfall creek hydroelectric construction project
2018,480635.312273,,,,,823844.480428
2019,562171.774685,,,,,885430.449042
2020,602507.965172,,,,,911874.258719
2021,627307.402126,1079927.70807,723620.29688,904699.772246,1026968.43511,925130.407226
2022,647944.656828,1085025.14578,741250.683857,914255.911459,1020833.41506,935025.512551
2023,661881.389222,1084948.98867,752446.984856,918351.056358,1011891.39573,939325.63744
2024,671492.085995,1081647.08051,759511.567432,919001.269547,1001327.70059,940092.354712
2025,685113.01553,1081767.94482,770496.040559,923121.642998,992746.796012,944422.991159
2026,700344.482928,1083326.36428,783070.361954,928662.815871,984922.092351,950222.5504
2027,713127.939692,1083098.8231,793316.520571,932270.949403,976149.273854,954045.985197
2028,723467.587189,1081083.85951,801237.569578,933946.478936,966425.066651,955893.67255
2029,736075.986936,1081147.67227,811403.235876,937689.721704,958092.844099,959857.021451
2030,744638.442289,1078231.41201,817710.297709,938245.238986,948373.61222,960543.814442
2031,758424.638952,1079497.40985,829073.08822,943107.79312,940625.375174,965676.631351
2032,773123.946322,1081470.71653,841321.645767,948671.894573,932892.591271,971558.780855
2033,787355.501342,1083185.85503,853144.944099,953907.618483,924968.701856,977114.711909
2034,801100.397853,1084619.00704,864523.081121,958792.792082,916828.316834,982322.201139
2035,806707.190526,1079795.59425,868087.065428,957089.912602,905537.434313,980761.398898
2036,822372.825936,1083124.13454,881395.18412,963804.262942,898658.322601,987847.709115
2037,827968.414959,1078675.32422,885026.186868,962346.743343,887865.492664,986536.241248
2038,841211.948173,1080378.94211,896059.448751,967243.824953,880242.543128,991763.589711
2039,851942.349542,1080171.62946,904687.292341,970102.946252,871527.358493,994909.27621
2040,866140.306919,1082768.56545,916676.971752,975839.112268,864152.171071,1001024.98498
2041,860339.617593,1069744.37885,909411.720275,965234.751307,848816.612483,990346.209075
2042,854844.227705,1057194.7924,902486.093912,955048.275839,834009.826832,980087.062763
2043,849348.837817,1044810.53862,895593.988703,944971.747645,819421.276933,969939.566948
2044,844158.747367,1032893.04207,889039.918456,935307.88935,805351.147471,960206.404335
2045,838968.656917,1021133.21911,882517.816488,925748.884995,791489.143936,950579.719983
2046,833473.267029,1009222.07481,875721.634101,915986.977619,777525.088921,940751.718859
2047,828283.17658,997766.599222,869261.238482,906630.3662,764064.817713,931330.562765
2048,823398.385568,986763.267982,863135.915067,897676.70702,751103.678237,922313.871676
2049,818513.594557,975903.340049,857039.666635,888818.411951,738331.828204,913394.022007
2050,813934.102983,965488.753831,851277.111175,880358.545325,726050.130562,904874.043468
2051,813934.102983,959790.419224,850121.775349,876569.116567,718528.444957,901025.91167
2052,813934.102983,954225.639312,848993.517703,872868.502531,711183.04883,897267.970447
2053,813934.102983,948791.283973,847891.703604,869254.621666,704009.810482,893598.106
2054,813934.102983,943484.296302,846815.713266,865725.44111,697004.694862,890014.253977
2055,813934.102983,938301.691158,845764.941452,862278.975725,690163.761642,886514.398489
2056,813934.102983,933240.553324,844738.797103,858913.286875,683483.162798,883096.570865
2057,813934.102983,928298.035893,843736.703009,855626.481346,676959.14047,879758.848565
2058,813934.102983,923471.358759,842758.095505,852416.710353,670588.024974,876499.354163
2059,813934.102983,918757.806835,841802.424106,849282.168343,664366.232451,873316.254136
2060,813934.102983,914154.728768,840869.151253,846221.092151,658290.263169,870207.758005
2061,813934.102983,909659.535381,839957.75199,843231.759957,652356.699466,867172.117278
2062,813934.102983,905269.698053,839067.71364,840312.490212,646562.203616,864207.624356
2063,813934.102983,900982.747549,838198.535566,837461.64086,640903.516277,861312.611745
2064,813934.102983,896796.272459,837349.728855,834677.608298,635377.454438,858485.451
2065,813934.102983,892707.917915,836520.81606,831958.826522,629980.909722,855724.551859
2066,813934.102983,888715.384088,835711.330889,829303.766133,624710.846398,853028.361229
2067,813934.102983,884816.425344,834920.818041,826710.933769,619564.30028,850395.362616
2068,813934.102983,881008.848416,834148.832832,824178.870894,614538.376296,
2069,813934.102983,877290.51161,833394.941034,821706.153268,609630.247455,
2070,813934.102983,873659.32331,832658.718572,819291.389952,604837.152868,
