year,Base case diesel consumed,Modeled solar power
2020,215181.416133,212214.031243
2021,214831.302098,211887.656287
2022,214551.21087,211631.114226
2023,214201.096836,211304.360964
2024,213850.982801,210977.420817
2025,213430.845959,210580.272471
2026,212870.663504,210042.894604
2027,212240.458242,209435.311492
2028,211540.230172,208757.524597
2029,210910.02491,208149.580979
2030,210349.842454,207611.482075
2031,209509.568771,206793.115275
2032,208389.20386,205694.481992
2033,207198.816143,204525.652049
2034,205938.405618,203286.626837
2035,204748.0179,202117.45335
2036,203557.630182,200948.110148
2037,202437.265271,199848.621398
2038,201246.877553,198678.942831
2039,199986.467029,197439.075784
