year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.23
2003,,1.22,
2004,,1.28,3.23
2005,,1.35,2.58
2008,,3.57,3.74
2009,,2.37,2.9
2010,,2.8,3.4
2011,,3.75,4.09
2012,,3.75,5.04
2013,,3.77,4.94
2014,,,4.4
2016,,1.59,2.31
2017,,1.95,2.67
2018,,2.23,2.95
2019,,2.61,3.33
2020,,2.8,3.52
2021,,2.92,3.64
2022,,3.02,3.74
2023,,3.09,3.81
2024,,3.14,3.86
2025,,3.21,3.93
2026,,3.29,4.01
2027,,3.36,4.08
2028,,3.42,4.14
2029,,3.49,4.21
2030,,3.54,4.26
2031,,3.62,4.34
2032,,3.71,4.43
2033,,3.8,4.52
2034,,3.89,4.61
2035,,3.94,4.66
2036,,4.04,4.76
2037,,4.09,4.81
2038,,4.18,4.9
2039,,4.26,4.98
2040,,4.36,5.08
