year,Base case cost,Modeled solar power
2020,602507.965172,627395.249303
2021,627307.402126,651212.874393
2022,647944.656828,670948.254708
2023,661881.389222,684090.166594
2024,671492.085995,692981.847108
2025,685113.01553,705843.760117
2026,700344.482928,720305.474457
2027,713127.939692,732364.83873
2028,723467.587189,742024.99976
2029,736075.986936,753942.274854
2030,744638.442289,761884.426782
2031,758424.638952,774983.652903
2032,773123.946322,788984.840008
2033,787355.501342,802534.162429
2034,801100.397853,815612.375389
2035,806707.190526,820672.924941
2036,822372.825936,835675.051587
2037,827968.414959,840751.56538
2038,841211.948173,853385.921427
2039,851942.349542,863546.595187
